,id,smiles,MW,logP,TPSA,HA,h_acc,h_don,rings,MR,Rot_bonds,lipinski
42,WAR-XCH-79d12f6e-6,Cc1ccc(C)c(S(=O)(=O)N2CCN(C(=O)CCl)CC2)c1,330.080491148,1.3751400000000003,57.690000000000005,21.0,3.0,0.0,2.0,81.97480000000003,3.0,0.0
43,MIH-UNI-e573136b-5,NS(=O)(=O)CCc1ccccc1CN1CCN(C(=O)CCl)CC1,359.10704024399996,0.40059999999999985,83.71000000000001,23.0,4.0,1.0,2.0,90.69720000000005,6.0,0.0
44,NEH-REV-107bcf72-5,O=C(CCl)N1CCN(Cc2cc(O)ccc2O)CC1,284.092770084,0.9807999999999999,64.01,19.0,4.0,2.0,2.0,72.34860000000003,3.0,0.0
45,JUA-UNI-bc099708-1,C=CC(=O)NCC(=O)N(Cc1ccccc1)C[C@H](O)c1cccs1,344.11946350000005,2.1125,69.64,24.0,4.0,2.0,2.0,94.34450000000004,8.0,0.0
46,JUA-UNI-bc099708-2,C=CC(=O)NCc1ccc(C(=O)NCc2cc(C)cc3c(C)c(C)[nH]c23)cc1,375.19467704000004,3.8253600000000025,73.99000000000001,28.0,2.0,3.0,3.0,112.16560000000004,6.0,0.0
47,JUA-UNI-bc099708-3,C=CC(=O)NCC(=O)N(CCN1CCOCC1)Cc1sccc1Br,415.05652466400005,1.4736,61.88000000000001,24.0,5.0,1.0,2.0,97.90170000000006,8.0,0.0
48,JUA-UNI-bc099708-4,C=CC(=O)NCc1ccc(C(=O)N[C@H](CO)c2ccc(Br)c(F)c2)cc1,420.048482756,2.8538000000000014,78.43,26.0,3.0,3.0,2.0,99.87870000000002,7.0,0.0
49,JUA-UNI-bc099708-5,C=CC(=O)Nc1cc(C(=O)NC[C@H](Cc2ccccc2)c2ccccn2)ccc1O,401.173941596,3.6680000000000033,91.32000000000001,30.0,4.0,3.0,3.0,116.39070000000001,8.0,0.0
50,MAT-POS-916a2c5a-1,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,364.064841084,3.6818000000000026,51.129999999999995,24.0,5.0,0.0,3.0,95.32600000000002,5.0,0.0
51,MAT-POS-916a2c5a-2,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,338.126657056,2.3455000000000004,80.41999999999999,25.0,4.0,2.0,3.0,95.39090000000002,6.0,0.0
52,MAT-POS-916a2c5a-3,Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,453.172227344,2.9084800000000017,90.55000000000001,32.0,4.0,1.0,4.0,124.62100000000002,3.0,0.0
53,MAT-POS-916a2c5a-4,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccccc2)CC1,333.147726848,2.490500000000001,56.410000000000004,25.0,3.0,1.0,4.0,99.12720000000003,2.0,0.0
54,LON-WEI-b8d98729-17,C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,443.2208917880001,5.250400000000004,71.53,33.0,4.0,1.0,3.0,130.9767,9.0,1.0
55,LON-WEI-b8d98729-27,C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,455.14567616,5.008000000000004,71.53,33.0,4.0,1.0,3.0,117.7287,7.0,1.0
56,LON-WEI-b8d98729-38,C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,442.146346944,5.152700000000004,75.19,32.0,5.0,1.0,4.0,128.73069999999998,7.0,1.0
57,MED-COV-4280ac29-13,CC1CN(Cc2cccc(Cl)c2)CCN1C(=O)CCl,300.07961855599996,2.6115000000000013,23.55,19.0,2.0,0.0,2.0,78.62400000000004,3.0,0.0
58,MED-COV-4280ac29-15,O=C(CCl)N1CCN(Cc2cccc(Cl)c2)CC1,286.06396849199996,2.223,23.550000000000004,18.0,2.0,0.0,2.0,74.02900000000004,3.0,0.0
59,MED-COV-4280ac29-25,O=C(CCl)N1CCN(Cc2cnc(Cc3ccccc3)s2)CC1,349.10156094,2.616900000000001,36.440000000000005,23.0,4.0,0.0,3.0,93.93900000000005,5.0,0.0
60,MED-COV-4280ac29-30,COc1ccc(C2CC(c3ccccc3)=NN2C(=O)CCl)cc1OC,358.108420148,3.620300000000003,51.129999999999995,25.0,4.0,0.0,3.0,97.44900000000003,5.0,0.0
61,MED-COV-4280ac29-31,O=C(CCl)N1CCN(Cc2cccc3ccccc23)CC1,302.11859090800004,2.722800000000001,23.550000000000004,21.0,2.0,0.0,3.0,86.52500000000005,3.0,0.0
62,MED-COV-4280ac29-33,COCc1cc(Cl)cc(CN2CCN(C(=O)CCl)CC2)c1,330.09018324,2.3694000000000006,32.78,21.0,3.0,0.0,2.0,84.74200000000005,5.0,0.0
63,MED-COV-4280ac29-37,COCCc1ccc(Cl)cc1CN1CCN(C(=O)CCl)CC1,344.105833304,2.4119,32.78,22.0,3.0,0.0,2.0,89.60900000000004,6.0,0.0
